output,input,instruction
"Phenylephrine is used to relieve nasal discomfort caused by colds, allergies, and hay fever. It is also used to relieve sinus congestion and pressure. Phenylephrine will relieve symptoms but will not treat the cause of the symptoms or speed recovery. Phenylephrine is in a class of medications called nasal decongestants. It works by reducing swelling of the blood vessels in the nasal passages.",Phenylephrine,Why is Phenylephrine medication prescribed?
"Phenylephrine comes as a tablet, a liquid, or a dissolving strip to take by mouth. It is usually taken every 4 hours as needed. Follow the directions on your prescription label or the package label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take phenylephrine exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor or directed on the label.Phenylephrine comes alone and in combination with other medications. Ask your doctor or pharmacist for advice on which product is best for your symptoms. Check nonprescription cough and cold product labels carefully before using two or more products at the same time. These products may contain the same active ingredient(s) and taking them together could cause you to receive an overdose. This is especially important if you will be giving cough and cold medications to a child.Nonprescription cough and cold combination products, including products that contain phenylephrine, can cause serious side effects or death in young children. Do not give these products to children younger than 4 years of age. If you give these products to children 4 to 11 years of age, use caution and follow the package directions carefully.If you are giving phenylephrine or a combination product that contains phenylephrine to a child, read the package label carefully to be sure that it is the right product for a child of that age. Do not give phenylephrine products that are made for adults to children.Before you give a phenylephrine product to a child, check the package label to find out how much medication the child should receive. Give the dose that matches the child's age on the chart. Ask the child's doctor if you don't know how much medication to give the child.If you are taking the liquid, do not use a household spoon to measure your dose. Use the measuring spoon or cup that came with the medication or use a spoon made especially for measuring medication.If your symptoms do not get better within 7 days or if you have a fever, stop taking phenylephrine and call your doctor.If you are taking the dissolving strips, place one strip on your tongue and allow it to dissolve.",Phenylephrine,How should Phenylephrine medicine be used?
"Before taking phenylephrine,tell your doctor and pharmacist if you are allergic to phenylephrine, any other medications, or any of the ingredients in phenylephrine preparations.do not take phenylephrine if you are taking a monoamine oxidase (MAO) inhibitor, such as isocarboxazid (Marplan), phenelzine (Nardil), selegiline (Eldepryl, Emsam, Zelapar), and tranylcypromine (Parnate), or if you have stopped taking one of these medications within the past 2 weeks.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take.tell your doctor if you have or have ever had high blood pressure, diabetes, trouble urinating because of an enlarged prostate gland, or thyroid or heart disease.tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while taking phenylephrine, call your doctor.if you are having surgery, including dental surgery, tell the doctor or dentist that you are taking phenylephrine.if you have phenylketonuria (PKU, an inherited condition in which a special diet must be followed to prevent damage to your brain that can cause severe intellectual disability), you should know that some phenylephrine products may be sweetened with aspartame, a source of phenylalanine.",Phenylephrine,What special precautions should I follow for Phenylephrine ?
"Pyrethrin and piperonyl butoxide shampoo is used to treat lice (small insects that attach themselves to the skin on the head, body, or pubic area ['crabs']) in adults and children 2 years of age and older. Pyrethrin and piperonyl butoxide is in a class of medications called pediculicides. It works by killing lice.",Pyrethrin and Piperonyl Butoxide Topical,Why is Pyrethrin and Piperonyl Butoxide Topical medication prescribed?
"Pyrethrin and piperonyl butoxide comes as a shampoo to apply to the skin and hair. It is usually applied to the skin and hair in two or three treatments. The second treatment must be applied 7-10 days after the first one. Sometimes a third treatment may be necessary, as recommended by your doctor. Follow the directions on your prescription label or the package label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Use pyrethrin and piperonyl butoxide shampoo exactly as directed. Do not use more or less of it or use it more often than directed on the package label or prescribed by your doctor.The package label gives you an estimate of how much shampoo you will need based on your hair length. Be sure to use enough shampoo to cover all of your scalp area and hair.Pyrethrin and piperonyl butoxide shampoo should only be used on the skin or hair and scalp. Avoid getting pyrethrin and piperonyl butoxide shampoo in your eyes, nose, mouth, or vagina. Do not use it on your eyebrows or eyelashes.If pyrethrin and piperonyl butoxide shampoo gets in your eyes, flush them with water right away. If your eyes are still irritated after flushing with water, call your doctor or get medical help right away.To use the shampoo, follow these steps:Shake the shampoo well right before use to mix the medication evenly.Use a towel to cover your face and eyes. Be sure to keep your eyes closed during this treatment. You may need to have an adult help you apply the shampoo.Apply pyrethrin and piperonyl butoxide shampoo to your dry hair and scalp area or skin. If you have head lice, begin to apply the shampoo behind your ears and at the back of your neck and then cover all of the hair on your head and scalp.Keep the shampoo on for 10 minutes, but no longer. You should use a timer or clock to track the time.After 10 minutes, use a small amount of warm water to form a lather and shampoo as usual. Rinse your hair and scalp or skin thoroughly with warm water.If you have head lice, dry your hair with a towel and comb out tangles.A lice comb may also be used to remove the dead lice and nits (empty egg shells) after this treatment. You may also need to have an adult help you to do this.You will need to repeat this entire process in 7-10 days to kill the lice that hatch from eggs.After using pyrethrin and piperonyl butoxide shampoo, sanitize all the clothing, underwear, pajamas, hats, sheets, pillowcases, and towels you have used recently. These items should be washed in very hot water or dry-cleaned. You should also wash combs, brushes, hairs clips and other personal care items in hot water.Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.",Pyrethrin and Piperonyl Butoxide Topical,How should Pyrethrin and Piperonyl Butoxide Topical medicine be used?
"Before using pyrethrin and piperonyl butoxide shampoo,tell your doctor and pharmacist if you are allergic to pyrethrin, piperonyl butoxide, chrysanthemums, ragweed, any other medications, or any of the ingredients in pyrethrin and piperonyl butoxide shampoo. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take.tell your doctor if you have or have ever had skin conditions.tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while using pyrethrin and piperonyl butoxide shampoo, call your doctor.",Pyrethrin and Piperonyl Butoxide Topical,What special precautions should I follow for Pyrethrin and Piperonyl Butoxide Topical ?
Antipyrine and benzocaine otic is used to relieve ear pain and swelling caused by middle ear infections. It may be used along with antibiotics to treat an ear infection. It is also used to help remove a build up of ear wax in the ear. Antipyrine and benzocaine are in a class of medications called analgesics. The combination of antipyrine and benzocaine works by reducing pain and discomfort in the ear.,Antipyrine-Benzocaine Otic,Why is Antipyrine-Benzocaine Otic medication prescribed?
"Antipyrine and benzocaine otic comes as a solution (liquid) to place into the ear. When antipyrine and benzocaine is used to relieve ear pain, it is usually used every 1 to 2 hours as needed. When antipyrine and benzocaine is used to help in the removal of ear wax, it is usually used 3 times daily for 2-3 days. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Use antipyrine and benzocaine otic exactly as directed.Antipyrine and benzocaine otic is for use only in the ears.To use the eardrops, follow these steps:Hold the bottle in your hand for 1 or 2 minutes to warm the solution.Place the prescribed number of drops into your ear.Be careful not to touch the tip to your ear, fingers, or any other surface.Moisten a small piece of cotton with the drops and insert into the outer ear.Repeat steps 2-4 for the opposite ear if necessary.",Antipyrine-Benzocaine Otic,How should Antipyrine-Benzocaine Otic medicine be used?
"Before using antipyrine and benzocaine otic,tell your doctor and pharmacist if you are allergic to antipyrine or benzocaine or any other medications.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take while using antipyrine and benzocaine otic.tell your doctor if you have a hole in your ear drum(s) or ear tube(s). Your doctor will probably tell you not to use this medication.tell your doctor if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while using antipyrine and benzocaine otic, call your doctor.",Antipyrine-Benzocaine Otic,What special precautions should I follow for Antipyrine-Benzocaine Otic ?
"Hydrocortisone injection is used to treat symptoms of low corticosteroid levels (lack of certain substances that are usually produced by the body and are needed for normal body functioning). It is also used to treat severe allergic reactions. Hydrocortisone injection is used in the management of multiple sclerosis (a disease in which the nerves do not function properly), lupus (a disease in which the body attacks many of its own organs), gastrointestinal disease, and certain types of arthritis. Hydrocortisone injection is also used to treat certain conditions that affect the blood, skin, eyes, nervous system, thyroid, kidneys, and lungs. Hydrocortisone injection is in a class of medications called corticosteroids. It works to treat people with low levels of corticosteroids by replacing steroids that are normally produced naturally by the body. It also works to treat other conditions by reducing swelling and redness and by changing the way the immune system works.",Hydrocortisone Injection,Why is Hydrocortisone Injection medication prescribed?
