이름,주의사항,성분
한미글루코사민100,"(가) 임산부 및 수유부는 섭취를 피할 것
(나) 간·심장질환, 수술 전후, 고혈압, 당뇨 및 천식이 있거나 의약품(항응고제 등) 복용 시 전문가와 상담할 것
(다) 게 또는 새우에 알레르기가 있는 사람은 섭취에 주의할 것(게 또는 새우를 원재료로 사용한 경우)
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(마) 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의","글루코사민분말(글루코사민염산염으로서 98%이상), 캡슐류"
글루코사민100,"제품 개봉 또는 섭취시 포장재에 의한 상처를 입을 수 있으니 주의하시기 바랍니다.
제품의 섭취시 섭취량 및 섭취방법을 확인하고 섭취하여 주십시오.","글루코사민분말(글루코사민함량 98%이상), 젤라틴, 정제수, 이산화티타늄, 빙초산, 자당지방산에스테르"
파코스키토올리고당100,알레르기 체질인 경우 성분을 확인 한 후 섭취여부를 결정.게 또는 새우에 알레르기를 나타내는 사람은 섭취에 주의 추가,"키토올리고당분말(키토올리고당 함량 80%이상), 젤라틴, 자당지방산에스테르, 빙초산, 이산화티타늄, 식용색소황색제4호, 정제수"
글루코사민100,"임산부, 수유부, 환자, 영유아, 알레르기체질은 의사와 상담 후 섭취.게 또는 새우에 알레르기를 나타내는 사람은 섭취에 주의 추가","글루코사민염산염분말, 젤라틴, 이산화티타늄, 글리세린, 빙초산, 식용색소황색제4호"
키토올리고당100,"임산부, 수유부, 환자, 영유아, 알레르기체질은 의사와 상담 후 섭취.게 또는 새우에 알레르기를 나타내는 사람은 섭취에 주의 추가","키토올리고당분말(키토올리고당함량 50%이상) , 젤라틴 , 이산화티타늄 , 식용색소황색4호 , 글리세린 , 빙초산"
감마리놀렌산100,"임산부, 수유부, 환자, 영유아, 알레르기체질은 의사와 상담 후 섭취.","달맞이꽃종자유 (감마리놀렌산 4.75%이상) , 젤라틴 , 글리세린 , D-소르비톨액"
비피더스균 락티스 에이디011,"살아있는 유산균이므로 37℃가 넘는 뜨거운 물은 사용에 주의
특이체질이거나 알레르기체질 등이 있는 분은 섭취 금지.
포장 끝이 날카로워 베일 수 있으니 주의",Bifidobacterium animalis ssp. lactis(고시형)
유산균 애시도필러스 에이디031,"살아있는 유산균이므로 37℃가 넘는 뜨거운 물은 사용에 주의
특이체질이거나 알레르기체질 등이 있는 분은 섭취 금지.
포장 끝이 날카로워 베일 수 있으니 주의",Lactobacillus acidophilus(고시형)
유산균 카제이 아이비에스 041,"살아있는 유산균이므로 37℃가 넘는 뜨거운 물은 사용에 주의
특이체질이거나 알레르기체질 등이 있는 분은 섭취 금지.
포장 끝이 날카로워 베일 수 있으니 주의",Lacticaseibacillus casei
실리토닉 위드 비타민B12 (전량수출용),"알레르기 체질이신 경우 성분을 확인하신 후 섭취하여 주시기 바랍니다.
제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의하시고 이상반응이 있을 시 제품에 기재된 고객상담실로 문의하시기 바랍니다.","판토텐산칼슘, 비타민B1염산염, 비타민B2, 비타민B6염산염, 비타민B12혼합제제[비타민B12로서 0.1%: 비타민B12 0.1%, 말토덱스트린 95.9%, 구연산삼나트륨 3%, 구연산 1%, 계100%], 니코틴산아미드, 글리세린, 소르비톨액, 이산화티타늄, 식용색소 적색3호, 식용색소 청색1호, 젤라틴, 에틸바닐린, 식용색소 황색4호, 식용색소 적색40호, 대두유, 밀크씨스&#47359;출분말, 정제팜유, 밀납, 레시틴"
